id,blockNumber,blockHash,logIndex,timestamp,type,amountToken,amountETH,amountRef,price,priceETH,maker,pool_amountToken,pool_amountTokenRef,pool_liquidity,amountUSD
3t9QFqJDwcxV7p6nw67DLqzEcNYBwzTn8FWV3D69GxPbeUAokYALxwq7Z8QWbFF9SyNDadp411SH5uwp2FKzpxcu,289619757,AUPM646v8efqy9HHkjD3ZJxkuMovsFFF6bR9scTScako,19,1726264604,sell,56403564,1.5063245600000001,1.5063245600000001,3.712915892213506e-06,2.6706194665287467e-08,GxDkunDf6HhdhJhTZByuMtuEnNDJ2K939G3wTf1nm5uh,85213458632.28767,2296.986260599974,635736.4178767761,209.4216891530816
2nBhiPqvtiYwvoZux7hL9tLLqnod2WHQxCKxdJYh992uUitPcDcc7h9fKnhRcFre9sEk6rRaFdugRC8kFrE5hYHr,289619742,7gQ1zH98wFjjrK5RAh16JNrs5iBE5KxGdd7WLeGaa64C,13,1726264598,buy,8991224.693161,0.241464055,0.241464055,3.733676959454342e-06,2.685552449641982e-08,YMkRY6E6EFF1x6uDsuG95rbTcHTc1Zax2QLUsV3vGMU,85157055068.28767,2298.4925851599737,637504.3692230803,33.57032847413216
NSDa35W36Qi4qVD7hVbs91uBB9NvJKYevJ5yUA6F2zAdujH1yLyJCXDxCPv6C5UmNR5ikjWfqRaoC2h4hSkRqy9,289619724,3ppN5o9qAtTN8xsaw5tjr3BKiPGT1Mkyd78vmU2tLVm8,1,1726264590,sell,9931865.17062,0.26539649800000004,0.26539649800000004,3.715074042253334e-06,2.6721717768086914e-08,EdFgAjt2nXPNEmuk3QwawZfkWh6W2XDprxFhdZxTWXd1,85166046292.98083,2298.2511211049737,635920.0323155548,36.897614486530344
zr3UkQRfmMKJ3EhJmbLQFswAKeH6pUCdo4GL6vurCdotqBkSrU2CSd8irSy7Z8ohX83SDCQzRuxpmPmy7P876WY,289619674,6XTuZqPNufWju7jPSpPVCKzESe1GV1XXhHwK6EL47oQ,172,1726264567,buy,11603809.850512,0.311623448,0.311623448,3.7328682755418454e-06,2.6855270123738723e-08,4CvpzWQeoyady4rmMLYMzHKiwA65jAMF5XKuJAwYT9zS,85156114427.81021,2298.5165176029736,637369.132465448,43.31549366639621
5Dh5Lrf7vdidzp4KdvJVqxFHg56mz72FtbTsPXk8NEpv224LZkSm8Y9xsyS6btjBj5Uh9najZ7VSZsMHJcbacLZJ,289619654,J9wtSFoZZFrUF2UKEUZbyWrZtNpw6wrHpdewYMtcvJGS,5,1726264557,buy,2140077.670897,0.057462834000000004,0.057462834000000004,3.7328754538566274e-06,2.6850817043436943e-08,8X3gK9QonquwYP1aD6K7FEBvRgpidyJxjM2xmzkVHEhu,85167718237.66072,2298.2048941549738,637423.3373699891,7.988643407038073
5T1atN2FdESpJUCJiDDwSncb73Sns8JFNH5onxMTGHNwTZ2PJMnT2DgdSS6eA49KMJBkz2xHdfB7ZNtrTZTEuL1h,289619636,8SdpPPaYXc76MyrXBRCfZAp8uQqK65JPmTxk8w13jsRp,66,1726264549,buy,20941632.295166,0.562143072,0.562143072,3.731834090040215e-06,2.6843326445463404e-08,2DHieN6UUSnxCXkro2G3y5oNtsv4JnqSWpKkNgvdgzZg,85169858315.33162,2298.1474313209737,637334.6445612906,78.1506973001876
2auQYZ8RatSRCKDSWzkmAsYVZdTHrV77utzFWXRs22Ztz8gxQ56Yn5Efgk6ANEpF58iS3qBk5rKEb6V1G19X3tKV,289619566,PgKFokhV9kJ4rpr2RHSNKwYGGY5cr7pqci8xmBxCHbC,81,1726264517,sell,9097987.902582,0.24296597600000003,0.24296597600000003,3.7132488323197325e-06,2.6705462636529396e-08,5xTeKqSMR3YDyNxcSYan5gT3qhhAtaqKAak9txEm4wGC,85190799947.62679,2297.585288248974,635801.3334975906,33.78309295572166
44ELD9DTHfR6M5MMSkX7wp9hWagyn8o7Vc33N4r8sYwLwvypXf7jN3QZZsbFret8m9ArsY2HrPcnQhQGxB2caVcz,289619522,4qFqvdQvGzS7Mg3nVqosyS6xKVRB5Fu5gGbCEu7sCuwc,24,1726264497,sell,11719995.218399,0.313066397,0.313066397,3.714691314339062e-06,2.671216081287499e-08,G8WY58hz3vuUgjqzyB7Ab9BaX4eK6jyjBuivHVV4zASK,85181701959.7242,2297.828254224974,635968.1755110042,43.5361644418821
5rR4yF3YPpM3qsEEWNZFsTg31MjnL46bBTeqFMHWfzuGn9dbxrvPuV8zWPe8jkP4b7at2u2HcUfvZSKzkh51finZ,289619484,35eDsySrHuveTd66gdYKv9b3WcRjP697boMscDUd72tE,51,1726264477,sell,21083917.276171997,0.563419678,0.563419678,3.71573456716711e-06,2.6722722851732545e-08,3Nu4avtH2yzy7g4E1Rzv8epXkR25XWxscUby5UdVsfQ8,85169981964.5058,2298.141320621974,636020.4328303587,78.34224023436411
5CwhQ7ZzD3eoPEFRWhkHGLgH98Kr38Uut2U26gRiu5PrtCj17jHxwQvhyzFDb7T1BtyUETFkidQs87xCqFDEoeu5,289619465,FfZ3EXHtfFHVgbYQ7hEWCsod328iXxRqM1HY18jMqv6R,68,1726264468,sell,82213130,2.199697863,2.199697863,3.720545079067518e-06,2.675604082948794e-08,GxDkunDf6HhdhJhTZByuMtuEnNDJ2K939G3wTf1nm5uh,85148898047.22963,2298.704740299974,636445.3113307033,305.87765625623814
66255MxTnjcEk8KarVngnCRD8sS7SfZF2nQWiDwtCf6yDLw2HPy9b5LcrjNXU73kUYG3YRiFZUQJBuf9f13XEoiS,289619414,D1RhwWyrRBLx6yUGH1V2v4jr89HMawPsyQrsKqaQ7QJR,89,1726264446,buy,9931865.17062,0.267303428,0.267303428,3.7406194515154485e-06,2.6913718964965925e-08,EdFgAjt2nXPNEmuk3QwawZfkWh6W2XDprxFhdZxTWXd1,85066684917.22963,2300.904438162974,637994.6863936996,37.15132804704997
2a8jpiv4a4b9rPikAHbABCrWLiX1RXQCT9zKaMzAwVvV31HEw3HwFemKkDKGHxGU15isq7TCsnKzeKk6zw1TDK9j,289619288,4Ni3taUxwz6LfgN3zRnNHbKba8JkQMz7cvqLMeqv9byY,15,1726264388,buy,90175070,2.424009453,2.424009453,3.7388555666931693e-06,2.688114855913059e-08,DJ1wBrHomngWYsPFQr35HzEj4qsS7uQ27ZrBe3eHZHcw,85076616782.40025,2300.637134734974,638081.0880752055,337.15156244644623
KjVC986SdxF27TKELHcyMzbT22759kTqjeiSC7qH8YwCrLubEjstRLhkPsKeuA8emL1yMw2T1LSWHYcybaaRNYX,289619267,FAtav6N3y8xMH1UQVCir97Pxz3U3jToPS6TeG8FwhV7m,150,1726264379,buy,9097987.902582,0.244271489,0.244271489,3.7343781408153383e-06,2.684895733161791e-08,5xTeKqSMR3YDyNxcSYan5gT3qhhAtaqKAak9txEm4wGC,85166791852.40025,2298.213125281974,637699.7600774337,33.9753271488046
3FgdLRszVqRcqktf3NtxPwcfgK9QFvU24c29dL575FSLK8mpn6ieE7ESEkGtbExt7LbKK1wif7HacKcXEPWvDunx,289619264,FLy3uJMkXoCaJ9NUY2e4GuXvchr3h3VD7zW1a2gW9U4m,45,1726264378,sell,10056968.819427,0.268673826,0.268673826,3.715772564032849e-06,2.6715189320365002e-08,7tiiGjGcSmTHJxfgAhbQGXZnTnDrFqtdbAqTQsgCLqtz,85175889840.30284,2297.968853792974,636115.013518993,37.36940881656068
HPiv1UZPvn5D8oM1z8QAoZtSnT6SXENi92s2CPDyNrPrMXEJLqb8sBDRS2z23YqM1Y6f3dBHx4hnTKD5dRu1buz,289619212,2LCZ9jWhQZv41ir6T5YjiYQSDde4qqcU9ku3ov1sRPXb,15,1726264356,buy,11719995.218399,0.314666773,0.314666773,3.7335602503113644e-06,2.6848711721828228e-08,G8WY58hz3vuUgjqzyB7Ab9BaX4eK6jyjBuivHVV4zASK,85165832871.48341,2298.237527618974,637562.8297863868,43.75730828125376
1SAvkPeb8SHBhu4t56zxaECi26Sby96cMHt4DeR6CHhK97xxYpAReGsweDK8FbT8KS9DzmLN4CKkqq7juUMBrRC,289619159,5DHXPCEzWv8tLhifFtney2RNeHBEytRTFVai3TxwKFC1,90,1726264332,buy,21083917.276171997,0.565851764,0.565851764,3.732117288633922e-06,2.6838075514529634e-08,3Nu4avtH2yzy7g4E1Rzv8epXkR25XWxscUby5UdVsfQ8,85177552866.70181,2297.922860845974,637443.0128511995,78.68765217852894
5TJj4Rq5okispe5GU3ZV4SamPjYcVdKZxs2sbrhNNDhzwUS9aqWC2QTLWk38AdT6wY9jE2yyLUP7RBgJ3B5q7GP5,289619131,7SUg3EqGoWBf4woa3gm4M4Hnqqxnmgnt4Lx6VBY36NVF,188,1726264321,sell,9204729.626217,0.245768376,0.245768376,3.7125716764883556e-06,2.6700227598212136e-08,Hkc8DTt5c4NUjQ7mxB2zHAsswCFNc2gvh4tCg6thbhSr,85198636783.97798,2297.357009081974,635745.3663569749,34.173218500026486
2LMqJ8w6EphHtQ9yx8u1L1e7aLX6PvHXFKxgBp71aB65TPiYo3Zjbp9PeKcD4ZbsBsPwKv16rNCyvgAvCqoTSsUW,289619084,5UgsUhePoRghWt4jx3ATRdxybu1oRdQK4nWKaJ4nS8PT,6,1726264298,sell,85035980,2.273062189,2.273062189,3.7186216490769817e-06,2.6730593203018298e-08,DJ1wBrHomngWYsPFQr35HzEj4qsS7uQ27ZrBe3eHZHcw,85189432054.35176,2297.602777457974,636417.8620225864,316.21663617847724
4jTC4strBsFw2hn1Tz1tvAx9dAXTBd6HyzKwHkoH6PqbFznDTa4SGyLSJntEpNCsEo1pa3FgNvL25c6jxVGeGY1k,289619078,7SAaXYLAqbHtHc43soMDHCuBsoQFHuTKA2UR2L1c3sxZ,61,1726264295,sell,11817215.112515999,0.316249705,0.316249705,3.7229601234434896e-06,2.6761779487711076e-08,5wejXvijQodhdAds4LYYJk4wUH1hAGVNTAwA3LKtcnKb,85104396074.35176,2299.875839646974,636787.085263432,43.99502063405083
4JY6pmJVPHTUzShG2pcDS4ieaCFXWSZ4GE4zFnz3oeeWLAUMTG22X5Qfj1gHGuy589sbfzwcgWGwnqnre51q1ssm,289619033,GLrMUCRQhC2kdE9qstbfVV9YhB777bcdFsDJkmMbrf1L,23,1726264275,sell,21184398.212889,0.5671579210000001,0.5671579210000001,3.723470343615712e-06,2.677243485042356e-08,EzmUKc15V3sk5qBhq6bZUqqVTGYpuJzeRP3sLm4MQAch,85092578859.23924,2300.1920893519737,636746.9819624089,78.87947849303788
5hkHCTeuwNKiuGzNjLVkCidLJn2cCbgwosrz2ubmsZkJ72j3AtqBcyyykrEgxLdp8UQqFWS7sijhWQr7aUM7tj9t,289618944,Go1tJbB9UPF8Re2z5KuAC5Uwd79sho6yDRrGzFU9wxMP,7,1726264236,buy,10056968.819427,0.270636957,0.270636957,3.741479302224981e-06,2.691039038295633e-08,7tiiGjGcSmTHJxfgAhbQGXZnTnDrFqtdbAqTQsgCLqtz,85071394461.02635,2300.759247272974,638178.3400427834,37.62794068100813
2W29KQ75uAYoYNBChY4bvoaD8DYyfXmrsudzrk4QCqRnS7ja84WBLHkU8G8b3XJrPoVngp9jP6gUb1vqrjMqMqMc,289618902,7Yi9P3sphmw9gcVtc6zxamYWsrEFRFSfCMjQoHbLS4MM,9,1726264217,buy,92254344,2.479530113,2.479530113,3.736599209744947e-06,2.687710958087784e-08,6vNAt1NG3eNXeFn61sawneNAzTwcduMSVVo1pdCxBvBi,85081451429.84578,2300.488610315974,637741.4878637991,344.7175088859385
2JJHqV9PJkfa9JgygpfiQ4fFNQcDRMtAd2EpNtmjSGpDVN22oSZHKSyeP35PSSiuWjm431dWiHYbwzEFGHxki95C,289618844,Duyr1ygTJTfSu4922JnFYvYim3yjeWHswV4Ns4NQq32e,17,1726264190,sell,890000,0.023774946,0.023774946,3.712621987211078e-06,2.6713422471910114e-08,34RKn328vk73TZYM2QYvet91qyq3gRXCLC19ckXurPxS,85173705773.84578,2298.009080202974,635594.2602803676,3.3042335686178594
XQhQ8SYCNsyEougayr4qXgRedFEikxmztGWpLZrAKetyiVuMzpLP2N1bZBa9GstWkjJ3PBudAgkXJfYPXfuNgtu,289618824,2fJjKoCLHAb6wrCKaceuNDoUcCo5VTUqrHqeUUtBcJT3,16,1726264180,buy,9204729.626217,0.24709906,0.24709906,3.7306882417488645e-06,2.6844792843910383e-08,Hkc8DTt5c4NUjQ7mxB2zHAsswCFNc2gvh4tCg6thbhSr,85172815773.84578,2298.032855148974,637116.6162495785,34.33997658500518
5fw67UCrc8TjHJQZVQNHY3vQcFp5nwNoxBsDbQ2sFWh9DYZtyNJYc3EQDS7RSQU29QwHXWSa3HiBhjDR5VJiAmnD,289618769,CLd2KrrGtRQHZRTim9xAUgwWZopfVXUxNv6vmNmVdCnq,109,1726264154,buy,11817215.112515999,0.317150168,0.317150168,3.7294747995954584e-06,2.6837978743747832e-08,5wejXvijQodhdAds4LYYJk4wUH1hAGVNTAwA3LKtcnKb,85182020503.472,2297.785756088974,636990.4384862797,44.072005963527026
56xAxk7QNzPJNBo9bFcy4rBqyamhHsjqSAweYWp1NYVqvMqg75jKo9nrYbPPua9pZsEuPCGKbgCWLt22nttN2hyf,289618729,qGuBkax1PabCcSdqxmmGSFXAyFzTsYp6VpAcirRPEWp,107,1726264134,sell,664829.379222,0.017751187,0.017751187,3.7091904701912265e-06,2.6700364867709195e-08,Gq5bh1qHRdhM5kHPz7HaSkzdRxUZ4MLAuKAnVUYoAMWZ,85193837718.58452,2297.468605920974,635162.4259153076,2.4659787977133916
3Wn9UERovKfDg3rzE1KWgwTLhtkgNTTRet316y5ZnyQ62N8BiBPRQ6k2y8PTZPmTxA7R5f8JY7JpVEqWGWU9adtX,289618718,Df1VSW12nRyivwvjxb3dF7qi7dLkGH9fGdT5n9G8dHPS,44,1726264129,sell,47335677.576413,1.2646117970000001,1.2646117970000001,3.71133852584545e-06,2.671582750576589e-08,6jvYtr9G5WQnKs3cFsFtKmEfkbEnUXFhBKsmZad26QPV,85193172889.20529,2297.486357107974,635345.4255920337,175.67872383634014
4N26Rw3FkPD6iEjjQgomQieTSFsbvavtvyXNurgLUkvaDmzxhGuPPoQGpbfd6ARcxToryCCQSyyNAojKn6mK679z,289618716,8RbeT7h5eQPmwTNHHy1fEFoU6sVjoHiRaBZrpLX5ZpRa,1,1726264128,sell,33884790,0.9061463390000001,0.9061463390000001,3.7149714529483743e-06,2.6741978893775056e-08,YpnnUu1ZPHpAzy4xggEd5pBTbu1aDayXuARsYsavNs9,85145837211.62888,2298.750968904974,635654.7542117408,125.88102753915054
5xghVFb99y8ojURqUdGRA9rLaVgYMrsEvDtMWEab2DzHQUfD5NdhxCrXZicdZrRWeRYmpFLdxT8bBzuB8wTXwqtd,289618708,2NC2cs9fcvwnRCNMmaCyaaNnthgiBo8XK5G11KbRo1fe,9,1726264125,buy,21184398.212889,0.569442259,0.569442259,3.7341821722375486e-06,2.6880265999415562e-08,EzmUKc15V3sk5qBhq6bZUqqVTGYpuJzeRP3sLm4MQAch,85111952421.62888,2299.6571152439737,637289.8160378663,79.10640213615109
41zwi2TyKRho2p6kMQZNbpCdfz5y6DURLx3jKMTrq8Ba1F6VPuwpTjonbvXjuSBzodcZ582bbrEfLLBiHvyptsDb,289618705,E9aPmpZMsrijtKhqYD9bNc6GgmytGowNianZvqBcnfD7,4,1726264123,buy,92996010,2.4963102590000004,2.4963102590000004,3.729032643732512e-06,2.6843197455460727e-08,GxDkunDf6HhdhJhTZByuMtuEnNDJ2K939G3wTf1nm5uh,85133136819.84177,2299.087672984974,636851.4205230894,346.78515702687514
5hPBXdFDV54tCiRVnUHF3CgEnbNSXxCSAb4dZeJK88KYvhUTw84moGkZVasDtYSkRKeqstXLZqP927ReMsWbjeRE,289618654,5RpYgLMsgnsvY9uSyKkZB8e9brUnQ6UetzVMbWtejcBi,2,1726264099,sell,9312089.83336,0.24846710000000002,0.24846710000000002,3.7069611492919276e-06,2.668220608330921e-08,EeF8nnnAqqAoE99jyTuCGAVgKN8suRsunXxSywvcKRuD,85226132829.84177,2296.591362725974,634995.5956906152,34.51955523098186
2PUzMj9vyWL6Jixoiikgi9NR3v6TsaPHzn3vgLF46Xpmb2ktnJgdtxPBJYRjpJT1QmyBPHW8EKoDS5mF8rXruEaE,289618608,F28aPD8mCUgWHdYN32CNGcs4UTpuZgXrNVyuCXNvvWms,25,1726264077,sell,11927182.460463999,0.318324942,0.318324942,3.7081528285369222e-06,2.668903096394958e-08,FZWNmPSsCvyBti2PJiYMgpT845LfwkHTZuLeYGjSDWDf,85216820740.0084,2296.839829825974,635118.102079279,44.22781537724555
ZppcaGow3vnVKoVMgEEBDq8tgS6yKXMntiYaxdrqufopr7kUtamx6NoM4gMVCAbrqXrmu4EL11uENeFnabnygJi,289618573,4GEmtgo3kvYf6euMo5fyKSCzLhKTx1fdQMciQPm4iKvk,74,1726264059,sell,10185996.259358,0.271926757,0.271926757,3.7086438831974485e-06,2.6696137528047642e-08,2jQJsKDZnRhWFQUPcRqzZWXJZkqASuSCDm1QtTQV9YA5,85204893557.54794,2297.158154767974,635117.2343374179,37.77623272154014
vV8BMfxgJs69vorLjCeUdFw1zKRDa8moCmwKSZikA3hsChcDJ14HrfTb9QSfYm7rJTbUfT9H2Vq6iUNkaJGZLzZ,289618573,4GEmtgo3kvYf6euMo5fyKSCzLhKTx1fdQMciQPm4iKvk,50,1726264059,sell,21354539.165030997,0.5703004,0.5703004,3.7100535178056233e-06,2.6706284579247308e-08,EjuJrLtyW9s7qCras99xLdt9cniQ8NVTQHvMheXRXTmF,85194707561.28859,2297.430081524974,635237.3277456296,79.22648315034121
52VAfQRQDwatmyzKHCLsdDWpCGU8SSPf7xCUGTDqEmFjsdfbwNZTdVW36oz4Hk7WXapNjnEw9bbd9Je5hQHFoYXL,289618548,DAHAqiD3y8wbuDBhVkKav1j1oiKPvhNteJJGGX4gSQQR,0,1726264048,sell,3004451.065537,0.08026124700000001,0.08026124700000001,3.7111411269400603e-06,2.671411357656928e-08,DnS7Kc3S6ixwLkuEyQxaAnsPa6Cye2WWfxopk5TERm5o,85173353022.12357,2298.000381924974,635329.9630623872,11.149941913193247
